USE_DECOMPOSITION_SOLVER,USE_PARALLEL_PORTFOLIO,USE_HYBRID_01,USE_ACTIVITY_BASED_SEARCH,USE_BB5,Total time in ms
false,false,false,false,false,81914
true,false,false,false,false,81419
false,true,false,false,false,56024
true,true,false,false,false,54914
false,false,true,false,false,77572
true,false,true,false,false,77457
false,true,true,false,false,60020
true,true,true,false,false,57392
false,false,false,true,false,82297
true,false,false,true,false,82023
false,true,false,true,false,52520
true,true,false,true,false,53582
false,false,true,true,false,59564
true,false,true,true,false,59415
false,true,true,true,false,57918
true,true,true,true,false,57649
false,false,false,false,false,83774
true,false,false,false,false,82033
false,true,false,false,false,54255
true,true,false,false,false,50354
false,false,true,false,false,76513
true,false,true,false,false,77296
false,true,true,false,false,59330
true,true,true,false,false,57258
false,false,false,true,false,82500
true,false,false,true,false,81464
false,true,false,true,false,55101
true,true,false,true,false,56000
false,false,true,true,false,59449
true,false,true,true,false,59760
false,true,true,true,false,59762
true,true,true,true,false,55102
false,false,false,false,false,88289
true,false,false,false,false,87954
false,true,false,false,false,55378
true,true,false,false,false,55108
false,false,true,false,false,77042
true,false,true,false,false,78161
false,true,true,false,false,59927
true,true,true,false,false,57044
false,false,false,true,false,83262
true,false,false,true,false,83932
false,true,false,true,false,53927
true,true,false,true,false,54465
false,false,true,true,false,59825
true,false,true,true,false,60579
false,true,true,true,false,58961
true,true,true,true,false,57297
false,false,false,false,false,87881
true,false,false,false,false,87658
false,true,false,false,false,52706
true,true,false,false,false,52621
false,false,true,false,false,77675
true,false,true,false,false,77686
false,true,true,false,false,57420
true,true,true,false,false,55847
false,false,false,true,false,82283
true,false,false,true,false,81759
false,true,false,true,false,54939
true,true,false,true,false,54755
false,false,true,true,false,59529
true,false,true,true,false,59305
false,true,true,true,false,57645
true,true,true,true,false,59312
false,false,false,false,false,88230
true,false,false,false,false,88081
false,true,false,false,false,54687
true,true,false,false,false,54373
false,false,true,false,false,77173
true,false,true,false,false,78167
false,true,true,false,false,57981
true,true,true,false,false,54439
false,false,false,true,false,82973
true,false,false,true,false,84413
false,true,false,true,false,52071
true,true,false,true,false,52106
false,false,true,true,false,59549
true,false,true,true,false,59611
false,true,true,true,false,59308
true,true,true,true,false,57639
false,false,false,false,false,87938
false,false,false,false,false,78140
true,false,false,false,false,75958
false,true,false,false,false,57939
true,true,false,false,false,55544
false,false,true,false,false,79752
true,false,true,false,false,79874
false,true,true,false,false,59126
true,true,true,false,false,60368
false,false,false,true,false,87909
true,false,false,true,false,86802
false,true,false,true,false,57111
true,true,false,true,false,57653
false,false,true,true,false,63239
true,false,true,true,false,62395
false,true,true,true,false,60578
true,true,true,true,false,56829
false,false,false,false,true,41458
true,false,false,false,true,41319
false,false,true,false,true,45240
true,false,true,false,true,45192
false,false,false,true,true,41420
true,false,false,true,true,41000
false,false,true,true,true,45432
true,false,true,true,true,45067
false,false,false,false,false,92015
true,false,false,false,false,91512
false,true,false,false,false,55543
true,true,false,false,false,57385
false,false,true,false,false,78691
true,false,true,false,false,79745
false,true,true,false,false,61378
true,true,true,false,false,59450
false,false,false,true,false,88728
true,false,false,true,false,86716
false,true,false,true,false,56314
true,true,false,true,false,59608
false,false,true,true,false,63013
true,false,true,true,false,62711
false,true,true,true,false,61688
true,true,true,true,false,58782
false,false,false,false,true,42115
true,false,false,false,true,41619
false,false,true,false,true,45858
true,false,true,false,true,45543
false,false,false,true,true,41826
true,false,false,true,true,41579
false,false,true,true,true,45850
true,false,true,true,true,45600
false,false,false,false,false,92714
true,false,false,false,false,92262
false,true,false,false,false,58959
true,true,false,false,false,60434
false,false,true,false,false,79408
true,false,true,false,false,80736
false,true,true,false,false,64450
true,true,true,false,false,62865
false,false,false,true,false,88647
true,false,false,true,false,87439
false,true,false,true,false,60553
true,true,false,true,false,56368
false,false,true,true,false,63762
true,false,true,true,false,63816
false,true,true,true,false,66045
true,true,true,true,false,63917
false,false,false,false,true,42266
true,false,false,false,true,41871
false,false,true,false,true,46049
true,false,true,false,true,45900
false,false,false,true,true,41799
true,false,false,true,true,42349
false,false,true,true,true,45697
true,false,true,true,true,46942
false,false,false,false,false,92477
true,false,false,false,false,92636
false,true,false,false,false,57318
true,true,false,false,false,52089
false,false,true,false,false,79295
true,false,true,false,false,80073
false,true,true,false,false,61597
true,true,true,false,false,60949
false,false,false,true,false,88333
true,false,false,true,false,86876
false,true,false,true,false,57761
true,true,false,true,false,54550
false,false,true,true,false,63152
true,false,true,true,false,62968
false,true,true,true,false,59941
true,true,true,true,false,57791
false,false,false,false,true,41557
true,false,false,false,true,42841
false,false,true,false,true,45430
